depth,width,epochs,annealing,accuracy
5,512,16,False,0.5022637248039246
5,512,16,True,0.4821731746196747
5,512,24,False,0.4932088255882263
5,512,24,True,0.45444256067276
5,512,32,False,0.4988681375980377
5,512,32,True,0.47113752365112305
5,512,16,False,0.49179399013519287
5,512,16,True,0.4906621277332306
5,512,24,False,0.48245614767074585
5,512,24,True,0.46830785274505615
5,512,32,False,0.496321439743042
5,512,32,True,0.4830220639705658
5,512,16,False,0.49858516454696655
5,512,16,True,0.5039615035057068
5,512,24,False,0.49575552344322205
5,512,24,True,0.47396716475486755
5,512,32,False,0.49575552344322205
5,512,32,True,0.4708545506000519
5,512,16,False,0.4974533021450043
5,512,16,True,0.4708545506000519
5,512,24,False,0.4934917986392975
5,512,24,True,0.4601018726825714
5,512,32,False,0.49207696318626404
5,512,32,True,0.48613467812538147
5,512,16,False,0.5011318325996399
5,512,16,True,0.4855687618255615
5,512,24,False,0.49405771493911743
5,512,24,True,0.48924732208251953
5,512,32,False,0.5008488893508911
5,512,32,True,0.45132994651794434
5,512,16,False,0.48924732208251953
5,512,16,True,0.47311827540397644
5,512,24,False,0.4960384964942932
5,512,24,True,0.47764572501182556
5,512,32,False,0.5008488893508911
5,512,32,True,0.48443689942359924
5,512,16,False,0.49858516454696655
5,512,16,True,0.4736842215061188
5,512,24,False,0.5121675133705139
5,512,24,True,0.4603848457336426
5,512,32,False,0.5053763389587402
5,512,32,True,0.49405771493911743
5,512,16,False,0.49405771493911743
5,512,16,True,0.47679683566093445
5,512,24,False,0.5053763389587402
5,512,24,True,0.4725523591041565
5,512,32,False,0.4960384964942932
5,512,32,True,0.48698359727859497
5,512,16,False,0.4951895773410797
5,512,16,True,0.475382000207901
5,512,24,False,0.49660441279411316
5,512,24,True,0.45302772521972656
5,512,32,False,0.4960384964942932
5,512,32,True,0.475382000207901
5,512,16,False,0.4974533021450043
5,512,16,True,0.48698359727859497
5,512,24,False,0.5107526779174805
5,512,24,True,0.49462366104125977
5,512,32,False,0.4954725503921509
5,512,32,True,0.4954725503921509
5,512,16,False,0.503678560256958
5,512,16,True,0.4765138626098633
5,512,24,False,0.4932088255882263
5,512,24,True,0.45217883586883545
5,512,32,False,0.49462366104125977
5,512,32,True,0.4923599362373352
5,512,16,False,0.5014148354530334
5,512,16,True,0.4660441279411316
5,512,24,False,0.4983022212982178
5,512,24,True,0.44086021184921265
5,512,32,False,0.5002829432487488
5,512,32,True,0.4830220639705658
5,512,16,False,0.5033955574035645
5,512,16,True,0.4651952385902405
5,512,24,False,0.49575552344322205
5,512,24,True,0.4818902015686035
5,512,32,False,0.5048103928565979
5,512,32,True,0.46264857053756714
5,512,16,False,0.5053763389587402
5,512,16,True,0.48896434903144836
5,512,24,False,0.4912280738353729
5,512,24,True,0.47962647676467896
5,512,32,False,0.5025466680526733
5,512,32,True,0.4906621277332306
5,512,16,False,0.49971702694892883
5,512,16,True,0.46915677189826965
5,512,24,False,0.5011318325996399
5,512,24,True,0.48811545968055725
5,512,32,False,0.5005659461021423
5,512,32,True,0.5147141814231873
5,512,16,False,0.4932088255882263
5,512,16,True,0.4934917986392975
5,512,24,False,0.4915110468864441
5,512,24,True,0.4685908257961273
5,512,32,False,0.49490663409233093
5,512,32,True,0.46830785274505615
5,512,16,False,0.49773627519607544
5,512,16,True,0.4773627519607544
5,512,24,False,0.5152801275253296
5,512,24,True,0.482739120721817
5,512,32,False,0.5016977787017822
5,512,32,True,0.46632710099220276
5,512,16,False,0.513016402721405
5,512,16,True,0.4818902015686035
5,512,24,False,0.4847198724746704
5,512,24,True,0.4847198724746704
5,512,32,False,0.49858516454696655
5,512,32,True,0.4609507620334625
5,512,16,False,0.5059422850608826
5,512,16,True,0.48047539591789246
5,512,24,False,0.4932088255882263
5,512,24,True,0.48160725831985474
5,512,32,False,0.5048103928565979
5,512,32,True,0.4855687618255615
5,512,16,False,0.49462366104125977
5,512,16,True,0.4773627519607544
5,512,24,False,0.4974533021450043
5,512,24,True,0.4765138626098633
5,512,32,False,0.5107526779174805
5,512,32,True,0.46264857053756714
5,512,16,False,0.5011318325996399
5,512,16,True,0.48330503702163696
5,512,24,False,0.5138652920722961
5,512,24,True,0.4850028157234192
5,512,32,False,0.4988681375980377
5,512,32,True,0.4991511106491089
